date,access_method,referrer_type,pageviews
2016-01-01,desktop,external,2365622
2016-01-01,desktop,internal,2493893
2016-01-01,mobile web,external,4747605
2016-01-01,mobile web,internal,2998873
2016-01-02,desktop,external,3336704
2016-01-02,desktop,internal,3358201
2016-01-02,mobile web,external,5067377
2016-01-02,mobile web,internal,3210491
2016-01-03,desktop,external,3432826
2016-01-03,desktop,internal,3419214
2016-01-03,mobile web,external,5446311
2016-01-03,mobile web,internal,3562844
2016-01-04,desktop,external,4402282
2016-01-04,desktop,internal,3903389
2016-01-04,mobile web,external,5071477
2016-01-04,mobile web,internal,3219160
2016-01-05,desktop,external,4208866
2016-01-05,desktop,internal,3687243
2016-01-05,mobile web,external,4862846
2016-01-05,mobile web,internal,3030993
2016-01-06,desktop,external,3614742
2016-01-06,desktop,internal,3212833
2016-01-06,mobile web,external,5455327
2016-01-06,mobile web,internal,3355022
2016-01-07,desktop,external,4494647
2016-01-07,desktop,internal,3700641
2016-01-07,mobile web,external,4563608
2016-01-07,mobile web,internal,2700840
2016-01-08,desktop,external,4331597
2016-01-08,desktop,internal,3620900
2016-01-08,mobile web,external,4491790
2016-01-08,mobile web,internal,2610901
2016-01-09,desktop,external,3873097
2016-01-09,desktop,internal,3039237
2016-01-09,mobile web,external,4658854
2016-01-09,mobile web,internal,2708106
2016-01-10,desktop,external,4585557
2016-01-10,desktop,internal,3422665
2016-01-10,mobile web,external,5671067
2016-01-10,mobile web,internal,3324339
2016-01-11,desktop,external,5073561
2016-01-11,desktop,internal,4120764
2016-01-11,mobile web,external,5258591
2016-01-11,mobile web,internal,2888392
2016-01-12,desktop,external,4922729
2016-01-12,desktop,internal,3858604
2016-01-12,mobile web,external,4766633
2016-01-12,mobile web,internal,2688132
2016-01-13,desktop,external,4545418
2016-01-13,desktop,internal,3546060
2016-01-13,mobile web,external,4564643
2016-01-13,mobile web,internal,2461862
2016-01-14,desktop,external,4708345
2016-01-14,desktop,internal,3747557
2016-01-14,mobile web,external,4787623
2016-01-14,mobile web,internal,2619157
2016-01-15,desktop,external,4142378
2016-01-15,desktop,internal,3268152
2016-01-15,mobile web,external,4249918
2016-01-15,mobile web,internal,2264746
2016-01-16,desktop,external,3272768
2016-01-16,desktop,internal,2917522
2016-01-16,mobile web,external,4598244
2016-01-16,mobile web,internal,2492815
2016-01-17,desktop,external,3702326
2016-01-17,desktop,internal,3247556
2016-01-17,mobile web,external,5459264
2016-01-17,mobile web,internal,3058959
2016-01-18,desktop,external,4668692
2016-01-18,desktop,internal,3653393
2016-01-18,mobile web,external,4573132
2016-01-18,mobile web,internal,2509252
2016-01-19,desktop,external,4655916
2016-01-19,desktop,internal,3863894
2016-01-19,mobile web,external,4611573
2016-01-19,mobile web,internal,2514005
2016-01-20,desktop,external,4567910
2016-01-20,desktop,internal,3491183
2016-01-20,mobile web,external,4575401
2016-01-20,mobile web,internal,2517695
2016-01-21,desktop,external,4505166
2016-01-21,desktop,internal,3454905
2016-01-21,mobile web,external,4423747
2016-01-21,mobile web,internal,2418570
2016-01-22,desktop,external,4340289
2016-01-22,desktop,internal,3545956
2016-01-22,mobile web,external,4213686
2016-01-22,mobile web,internal,2322097
2016-01-23,desktop,external,3286639
2016-01-23,desktop,internal,2927396
2016-01-23,mobile web,external,4537386
2016-01-23,mobile web,internal,2570527
2016-01-24,desktop,external,3652191
2016-01-24,desktop,internal,3277045
2016-01-24,mobile web,external,5323160
2016-01-24,mobile web,internal,3064844
2016-01-25,desktop,external,4740420
2016-01-25,desktop,internal,3675974
2016-01-25,mobile web,external,4769258
2016-01-25,mobile web,internal,2624959
2016-01-26,desktop,external,4763029
2016-01-26,desktop,internal,3663359
2016-01-26,mobile web,external,4711633
2016-01-26,mobile web,internal,2533047
2016-01-27,desktop,external,4638873
2016-01-27,desktop,internal,3515020
2016-01-27,mobile web,external,4653181
2016-01-27,mobile web,internal,2460835
2016-01-28,desktop,external,4525990
2016-01-28,desktop,internal,3531389
2016-01-28,mobile web,external,4532774
2016-01-28,mobile web,internal,2414677
2016-01-29,desktop,external,4175027
2016-01-29,desktop,internal,3325673
2016-01-29,mobile web,external,4291452
2016-01-29,mobile web,internal,2284585
2016-01-30,desktop,external,3347994
2016-01-30,desktop,internal,2855802
2016-01-30,mobile web,external,4645953
2016-01-30,mobile web,internal,2542330
2016-01-31,desktop,external,3628514
2016-01-31,desktop,internal,3177246
2016-01-31,mobile web,external,5325470
2016-01-31,mobile web,internal,2962522
2016-02-01,desktop,external,4742334
2016-02-01,desktop,internal,4089895
2016-02-01,mobile web,external,4706540
2016-02-01,mobile web,internal,2501154
2016-02-02,desktop,external,4731676
2016-02-02,desktop,internal,3932634
2016-02-02,mobile web,external,4777094
2016-02-02,mobile web,internal,2489070
2016-02-03,desktop,external,2061720
2016-02-03,desktop,external (search engine),2562581
2016-02-03,desktop,internal,4072052
2016-02-03,desktop,none,726821
