date,pageviews
2018-06-18,3069198
2018-06-19,2975745
2018-06-20,2692084
2018-06-21,2509379
2018-06-22,2434113
2018-06-23,1746171
2018-06-24,1888114
2018-06-25,2664583
2018-06-26,2612579
2018-06-27,2526790
2018-06-28,2498744
2018-06-29,2216568
2018-06-30,1553347
2018-07-01,1660070
2018-07-02,2638460
2018-07-03,2720454
2018-07-04,2132444
2018-07-05,2219913
2018-07-06,2133690
2018-07-07,1307254
2018-07-08,1295338
2018-07-09,1998800
2018-07-10,2034657
2018-07-11,2096712
2018-07-12,2122366
2018-07-13,2010341
2018-07-14,1421556
2018-07-15,1516235
2018-07-16,2430013
2018-07-17,2335858
2018-07-18,2299785
2018-07-19,2188791
2018-07-20,2031391
2018-07-21,1474314
2018-07-22,1510794
2018-07-23,2366809
2018-07-24,2202053
2018-07-25,2223111
2018-07-26,2086213
2018-07-27,1873267
2018-07-28,1277125
2018-07-29,1325181
2018-07-30,2109072
2018-07-31,2064319
2018-08-01,2003620
2018-08-02,2038570
2018-08-03,1901794
2018-08-04,1283831
2018-08-05,1299056
2018-08-06,1954171
2018-08-07,1940944
2018-08-08,1913057
2018-08-09,1886197
2018-08-10,1704708
2018-08-11,1232681
2018-08-12,1275541
2018-08-13,1690241
2018-08-14,1761642
2018-08-15,1267153
2018-08-16,1752222
2018-08-17,1705037
2018-08-18,1363943
2018-08-19,1397233
2018-08-20,1994397
2018-08-21,2058476
2018-08-22,2068690
2018-08-23,2090091
2018-08-24,2001857
2018-08-25,1498900
2018-08-26,1567729
2018-08-27,2329529
2018-08-28,2393446
2018-08-29,2406913
2018-08-30,2419118
2018-08-31,2337094
2018-09-01,1633002
2018-09-02,1692719
2018-09-03,2535850
2018-09-04,2536932
2018-09-05,2487938
2018-09-06,2504456
2018-09-07,2357464
2018-09-08,1620533
2018-09-09,1734428
2018-09-10,2639067
2018-09-11,2646507
2018-09-12,2539749
2018-09-13,2527140
2018-09-14,2304159
2018-09-15,1562379
2018-09-16,1690208
